CCN#,Hospital_Name,State,Bed_Size,Staff_Labor_Rate,Agency_Labor_Rate,Estimated_RN_Need
190034,Abbeville General Hospital,LA,44.0,43.15564924757069,63.89014489774946,8.317094017094018
240057,Abbott Northwestern Hospital,MN,609.0,61.52807882607216,94.72851345582306,261.2696581196581
390231,Abington Memorial Hospital,PA,588.0,58.1140949137208,121.70935601014617,46.83675213675214
030094,Abrazo Arrowhead Campus,AZ,270.0,53.74590283574019,104.53537537702977,31.02863247863248
030030,Abrazo Central Campus,AZ,153.0,52.75613199112446,61.84462932541996,40.322649572649574
030110,Abrazo West Campus,AZ,207.0,54.06415041827494,114.72663214713138,34.994017094017096
190044,Acadia General Hospital,LA,54.0,45.49411018538791,90.98829506282252,7.208952991452993
670102,Ad Hospital East Llc,TX,160.0,55.56482036393022,75.25609053708902,1.417183760683761
220062,Adcare Hospital Of Worcester,MA,114.0,30.033961039420852,95.73686909383927,1.458440170940171
360159,Adena Regional Medical Center,OH,223.0,43.270953257274535,93.55098315266594,51.21127777777778
670321,Adhc,TX,28.0,54.82113580910114,82.36094533301504,1.7901709401709403
390323,Advanced Surgical Hospital,PA,14.0,41.07427876325125,65.0,0.5709401709401709
060125,Advent Health Castle Rock Hosp,CO,89.0,43.9364082093563,164.97385053947778,11.222470085470087
100055,Adventhealth - North Pinellas,FL,136.0,46.096333594607486,57.14540693752938,6.608303418803419
100069,Adventhealth Carrollwood,FL,119.0,40.54758148571641,76.13317175016088,46.56206837606838
450152,Adventhealth Central Texas,TX,208.0,50.62234350469542,98.70285365215115,4.897008547008547
100068,Adventhealth Daytona Beach,FL,330.0,47.8543910476033,70.02787834535073,42.139743589743595
100045,Adventhealth Deland,FL,142.0,49.53026695889939,91.82447623914155,8.363247863247864
100072,Adventhealth Fish Memorial,FL,253.0,47.49659746520126,65.63175754739059,3.652136752136752
110023,Adventhealth Gordon,GA,69.0,47.85967926244611,80.23731375512848,1.9790598290598291
100137,Adventhealth Heart Of Florida,FL,202.0,44.852579597072896,96.9658993012348,17.85811965811966
340023,Adventhealth Hendersonville,NC,98.0,34.25868707082046,109.05699547169132,47.46965811965813
100099,Adventhealth Lake Wales,FL,142.0,43.29606603158192,104.87431928919462,2.9820512820512826
060113,Adventhealth Littleton Hospital,CO,201.0,61.19192799831167,132.72025687426932,26.685042735042735
180043,Adventhealth Manchester,KY,49.0,31.884323918999566,63.19798375805097,6.104273504273505
110050,Adventhealth Murray,GA,29.0,53.496121592311376,108.35811781609195,2.37948717948718
100014,Adventhealth New Smyrna Beach,FL,109.0,50.49414522869047,62.57826948480845,3.8820512820512825
100062,Adventhealth Ocala,FL,351.0,47.15832477256463,87.36911233309105,41.15267948717949
100007,Adventhealth Orlando,FL,2787.0,51.72310359230926,99.70378830572518,185.02735042735043
170014,Adventhealth Ottawa,KS,36.0,37.26857844485896,69.15135135135135,7.985042735042735
100118,Adventhealth Palm Coast,FL,99.0,56.83766603460157,75.48910891089109,2.58974358974359
060114,Adventhealth Parker Hospital,CO,162.0,62.14646085363664,119.59278440287083,46.62264957264958
060064,Adventhealth Porter Hospital,CO,180.0,65.18562512120069,175.75708311998633,30.046153846153846
170104,Adventhealth Shawnee Mission,KS,314.0,47.35700137227974,89.96411938252274,63.58931623931625
170208,Adventhealth South Overland Park,KS,41.0,50.40483940286099,88.2415610179196,4.769405982905982
100173,Adventhealth Tampa,FL,596.0,45.2843802116612,75.90459044406471,77.02735042735043
100057,Adventhealth Waterman,FL,288.0,46.972572508321726,82.89725569547072,23.654273504273505
100319,Adventhealth Wesley Chapel,FL,169.0,52.50883476052952,72.0032524979184,16.423931623931626
100046,Adventhealth Zephyrhills,FL,149.0,54.194619772198955,82.59296755932941,27.479487179487183
050133,Adventist Health And Rideout,CA,209.0,87.84044432823126,123.62788848357314,14.037102564102565
050455,Adventist Health Bakersfield,CA,254.0,68.32977076011578,122.89032304050855,33.334841880341884
120006,Adventist Health Castle,HI,142.0,58.85219302618503,146.6687556304101,2.4003504273504275
050239,Adventist Health Glendale,CA,323.0,64.98567933056738,111.51245521172055,56.72581623931624
050121,Adventist Health Hanford,CA,235.0,56.10941147255505,120.99315650941486,10.553418803418804
050336,Adventist Health Lodi Memorial,CA,186.0,66.83832351512464,125.40715675578794,53.79078632478633
050192,Adventist Health Reedley,CA,49.0,71.31354461852571,135.36500300661456,2.132051282051282
050236,Adventist Health Simi Valley,CA,144.0,70.03874705879767,131.565193324672,3.7366837606837606
050335,Adventist Health Sonora,CA,84.0,70.11729754089558,107.6035309973898,12.166243589743589
050013,Adventist Health St. Helena,CA,141.0,85.16500498219227,120.2111168745939,8.543491452991454
050784,Adventist Health Tulare,CA,73.0,64.23362128463916,150.64641555285542,3.517094017094017
050301,Adventist Health Ukiah Valley,CA,50.0,73.74948799071717,124.14438559783986,19.20747008547009
050103,Adventist Health White Memorial,CA,426.0,75.61076495919912,121.24803781636729,45.84276495726497
140122,Adventist Hinsdale Hospital,IL,244.0,53.38588821994341,99.99982643910906,22.16025641025641
140065,Adventist Lagrange Memorial Hospital,IL,159.0,55.36000487225252,99.99925339084989,20.605982905982906
380060,Adventist Medical Center-Portland,OR,168.0,53.94134970586483,113.30144411088007,48.29843162393163
140208,Advocate Christ Hospital,IL,725.0,54.278768560377024,117.21286586843358,102.291452991453
140288,Advocate Good Samaritan Hospital,IL,293.0,54.82489227967034,131.82777704480907,3.692589743589744
140223,Advocate Lutheran General Hospital,IL,562.0,55.25690798046302,121.09743873455855,31.85591452991453
140182,Advocate North Side Health Network,IL,237.0,56.4842127092504,95.28980831635349,45.302564102564105
140030,Advocate Sherman Hospital,IL,255.0,55.7899860068118,112.9227852911794,7.51174358974359
140048,Advocate Southland Health Network,IL,438.0,54.478482706930954,103.41814491188622,125.05683760683762
210057,Ahc Shady Grove Medical Center,MD,397.0,51.79238064677666,94.96915111849175,65.62179487179488
210016,Ahc White Oak Medical Center,MD,220.0,52.77875328581984,101.97619263627429,113.05128205128206
390333,Ahn Hempfield Neighborhood Hospital,PA,40.0,44.305697485809276,119.26725891041421,3.992735042735043
110107,Ahn The Medical Center,GA,636.0,42.27847177723196,77.8830818137416,217.2960042735043
390334,Ahn Wexford Hospital,PA,144.0,45.993686148588836,97.99983904197785,13.275213675213676
420082,Aiken Regional Medical Center,SC,211.0,45.78050486051243,81.17359873655353,71.70726495726495
360027,Akron General Medical Center,OH,401.0,48.96793068306925,99.46806982535061,99.36880341880344
